faval,fakdm,fakdul,fa01b,fakduk,facu33,fabelu,fakunr,fadato,fadaff,faavdr,faopko,fajour,faggrp,faaccn,faexra,fafrbn,falevn,famade,faagrn,fataxa,facuri,facd12,facd13,facd21,facd22,facd23,facd31,faavd,faopd,fali,favk,fabeln,fakda,fask,fafakt,famnd,facd32,favt,facc,faamou
NOK,N,,,,,0,24,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52688,4,FRA,-63905,K,S,786,9,,SINGAPORE AIRLI S:02,20,0
USD,N,J,,,,0,25,0,0,0,,0,,0,0,0,0,,0,0,USD,,,,,,,1,52689,1,FRA,0,B,S,0,0,,,0,0
USD,N,J,,,,0,25,0,0,0,,0,,0,0,0,0,,0,0,USD,,,,,,,1,52689,2,VAL,0,B,S,0,0,,,0,0
DEM,N,J,,,,0,70,0,0,0,,0,,0,0,0,0,,0,0,DEM,,,,,,,1,52689,3,SEA,0,A,K,0,0,,,0,0
NOK,N,J,,,,0,24,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52690,1,FRA,0,B,S,0,0,,,0,0
DEM,N,J,,,,0,70,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52690,2,SEA,0,A,K,0,0,,,0,0
NOK,N,,,,,0,70,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52690,3,FRA,-63905,K,K,786,9,,SINGAPORE AIRLI S:02,20,0
NOK,N,,,,,0,24,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52690,4,FRA,-63905,K,S,786,9,,SINGAPORE AIRLI S:02,20,0
USD,N,J,,,,0,25,0,0,0,,0,,0,0,0,0,,0,0,USD,,,,,,,1,52691,1,FRA,0,B,S,0,0,,,0,0
USD,N,J,,,,0,25,0,0,0,,0,,0,0,0,0,,0,0,USD,,,,,,,1,52691,2,VAL,0,B,S,0,0,,,0,0
DEM,N,J,,,,0,70,0,0,0,,0,,0,0,0,0,,0,0,DEM,,,,,,,1,52691,3,SEA,0,A,K,0,0,,,0,0
USD,N,J,,,,0,25,0,0,0,,0,,0,0,0,0,,0,0,USD,,,,,,,1,52692,1,FRA,0,B,S,0,0,,,0,0
DEM,N,J,,,,0,24,0,0,0,,0,,0,0,0,0,,0,0,DEM,,,,,,,1,52692,2,SEA,0,A,K,0,0,,,0,0
NOK,N,,,,,0,24,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52692,3,FRA,-63905,K,K,786,9,,SINGAPORE AIRLI S:02,20,0
NOK,N,,,,,0,25,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52692,4,FRA,-63905,K,S,786,9,,SINGAPORE AIRLI S:02,20,0
DEM,N,J,,,,0,70,20050526,20050609,1,O,192,HI,30100,0,0,0,,0,0,DEM,,,,,,,1,52693,2,SEA,34850,C,K,283578,1,,,20,0
NOK,N,,,,,0,70,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52693,3,FRA,-63905,K,K,786,9,,SINGAPORE AIRLI S:02,20,0
NOK,N,,,,,0,24,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52693,4,FRA,-63905,K,S,786,9,,SINGAPORE AIRLI S:02,20,0
DEM,N,J,,,,0,70,20050526,20050609,1,O,192,BI,30100,0,0,0,,0,0,DEM,,,,,,,1,52693,5,BAF,1700,C,K,283578,1,,,20,0
DEM,N,,,,,0,70,20050526,20050609,1,O,192,AI,31100,0,0,0,,0,0,DEM,,,,,,,1,52693,6,CAF,340,C,K,283578,1,,,20,0
DEM,J,,,,,0,70,20050526,20050609,1,O,192,BI,30100,0,0,0,,0,0,DEM,,,,,,,1,52693,7,FAK,100,C,K,283578,1,,,20,0
DEM,J,,,,,0,70,20050526,20050609,1,O,192,FI,30100,0,0,0,,0,0,DEM,,,,,,,1,52693,8,UTL,731,C,K,283578,1,,,20,0
DEM,N,J,,,,0,70,20060524,20060524,1,O,199,HI,30100,0,0,0,,0,0,DEM,,,,,,,1,52693,9,SEA,-34850,C,K,283629,1,,,20,0
DEM,N,J,,,,0,70,20060524,20060524,1,O,199,BI,30100,0,0,0,,0,0,DEM,,,,,,,1,52693,10,BAF,-1700,C,K,283629,1,,,20,0
DEM,N,,,,,0,70,20060524,20060524,1,O,199,AI,31100,0,0,0,,0,0,DEM,,,,,,,1,52693,11,CAF,-340,C,K,283629,1,,,20,0
DEM,J,,,,,0,70,20060524,20060524,1,O,199,BI,30100,0,0,0,,0,0,DEM,,,,,,,1,52693,12,FAK,-100,C,K,283629,1,,,20,0
DEM,J,,,,,0,70,20060524,20060524,1,O,199,FI,30100,0,0,0,,0,0,DEM,,,,,,,1,52693,13,UTL,-731,C,K,283629,1,,,20,0
USD,N,J,,,,0,25,0,0,0,,0,,0,0,0,0,,0,0,USD,,,,,,,1,52694,1,FRA,0,B,S,0,0,,,0,0
DEM,N,J,,,,0,70,0,0,0,,0,,0,0,0,0,,0,0,DEM,,,,,,,1,52694,2,SEA,0,A,K,0,0,,,0,0
NOK,N,,,,,0,70,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52694,3,FRA,-115030,K,K,786,9,,SINGAPORE AIRLI S:02,20,0
NOK,N,,,,,0,25,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52694,4,FRA,-115030,K,S,786,9,,SINGAPORE AIRLI S:02,20,0
EUR,N,J,,,NOK,0,30,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52704,0,FRA,60,M,K,0,0,,12345678901234567890,0,0
NOK,N,,,,,0,30,0,0,1,O,0,BK,0,0,0,0,,0,0,,,,,,,,1,52704,1,FRA,0,K,K,774,10,,AVREGNING HOVEDTRANS,20,0
NOK,N,J,,,,0,30,20070515,0,1,O,59,AK,31100,0,0,0,,0,0,,,,,,,,1,52704,3,SEA,-50,M,I,900004,1,,,20,0
NOK,N,J,,,,0,30,20070515,0,1,O,59,AI,31100,0,0,0,,0,0,,,,,,,,1,52704,5,SEA,50,I,I,900004,1,,0001,20,0
NOK,N,,,,,0,50,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52705,0,FRA,0,B,K,0,0,,,0,0
NOK,N,,,,,0,50,0,0,1,O,0,BK,0,0,0,0,,0,0,,,,,,,,1,52705,1,FRA,-140,K,K,774,10,,AVREGNING HOVEDTRANS,20,0
NOK,N,,,,,0,60,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52706,0,FRA,200,M,K,0,0,,,0,0
NOK,N,,,,,0,60,0,0,1,O,0,BK,0,0,0,0,,0,0,,,,,,,,1,52706,1,FRA,-111,K,K,774,10,,AVREGNING HOVEDTRANS,20,0
NOK,N,,,,,0,50,0,0,1,O,0,BK,0,0,0,0,,0,0,,,,,,,,1,52708,1,FRA,-159,K,K,774,10,,AVREGNING HOVEDTRANS,20,0
NOK,N,,,,,0,50,20000101,20000115,1,O,143,BK,41100,0,0,1,,0,0,NOK,,,,,,,1,52708,2,FRA,-743,K,K,10158,12,,TOTEN TRANSPORT S:02,20,0
NOK,J,,,,,0,30,0,0,0,,0,,0,0,1,0,,0,0,,,,,,,,1,52709,1,FRA,120,M,K,0,0,,001  0000000380,0,0
NOK,J,,,,,0,176,20040507,20040517,1,O,172,AI,30100,0,0,0,,0,0,NOK,,L,,,,,1,52712,1,HAN,41,L,S,283442,1,,27,20,0
NOK,J,,,,,0,176,20040507,20040517,1,O,172,AI,30100,0,0,0,,0,0,NOK,,L,,,,,1,52712,2,DIV,63,L,S,283442,1,,3,20,0
NOK,J,,,,,0,176,20040507,20040517,1,O,172,AI,30100,0,0,0,,0,0,NOK,,L,,,,,1,52712,3,HA2,51,L,S,283442,1,,1,20,0
NOK,J,,,,,0,176,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52713,1,EKS,100,L,S,0,0,,,0,0
NOK,J,,,,,0,176,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52713,2,HAN,585,L,S,0,0,,,0,0
NOK,J,,,,,0,176,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52713,3,FRA,600,L,S,0,0,,,0,0
NOK,N,,,,,0,176,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52713,4,HAN,120,L,S,0,0,,,0,0
NOK,J,,,,,0,176,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52714,4,FAK,50,A,S,0,0,,,0,0
